Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Virtual System,Event ID,Stage,Authentication Method,Tunnel Type,Source User,Source Region,Machine Name,Public IP,Public IPv6,Private IP,Private IPv6,Host ID,Serial Number,Client Version,Client OS,Client OS Version,Repeat Count,Reason,Error,Description,Status,Location,Login Duration,Connect Method,Error Code,Portal,Sequence Number,Action Flags,High Res Timestamp,Selection Type,Response Time,Priority,Attempted Gateways,Gateway,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Virtual System ID,cluster_name
1,2024/05/06 02:51:06,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:51:06,vsys1,gateway-tunnel-latency,tunnel,,,GP-Velocity,,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,,,1,,,"Pre-tunnel latency: 6ms, Post-tunnel latency: 16ms",success,,0,,0,Gateway-velocity,7342971110545162289,0x0,2024-05-06T02:51:07.787-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:51:06,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:51:06,vsys1,gateway-connected,connected,Local Database,IPSec,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162288,0x0,2024-05-06T02:51:07.786-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:51:06,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:51:06,vsys1,gateway-setup-ipsec,tunnel,,IPSec,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162287,0x0,2024-05-06T02:51:07.786-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:55,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:55,vsys1,gateway-getconfig,configuration,,IPSec,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,"Config name: Gateway-client, Client region: 192.168.0.0-192.168.255.255.",success,,0,,0,Gateway-velocity,7342971110545162286,0x0,2024-05-06T02:50:56.351-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:55,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:55,vsys1,gateway-register,login,,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162285,0x0,2024-05-06T02:50:56.109-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:55,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:55,vsys1,gateway-auth,login,Local Database,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,on-demand,0,Gateway-velocity,7342971110545162284,0x0,2024-05-06T02:50:56.100-07:00,auto,0,manual only,,Gateway-loopback,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:55,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:55,vsys1,gateway-prelogin,before-login,,,,192.168.0.0-192.168.255.255,,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162283,0x0,2024-05-06T02:50:55.883-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:53,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:53,vsys1,portal-getconfig,configuration,,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,"Config name: GP-Authentication, Machine Certificate CN : (null)",success,,0,on-demand,0,Portal-Velocity,7342971110545162282,0x0,2024-05-06T02:50:54.367-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:53,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:53,vsys1,portal-auth,login,Local Database,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Portal-Velocity,7342971110545162281,0x0,2024-05-06T02:50:54.334-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/05/06 02:50:53,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:53,vsys1,portal-prelogin,before-login,,,,192.168.0.0-192.168.255.255,,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Portal-Velocity,7342971110545162280,0x0,2024-05-06T02:50:54.241-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
